provider,delivery_model,published_pricing_text,lowest_published_recurring_price_usd,price_period,first_period_price_usd,price_published,note,official_source,checked
ReplyLead,Managed cold email and LinkedIn-led prospecting,"$2,023-$44,090/month infrastructure + agreed revenue share",2023,month,,yes,Infrastructure tier; an agreed share of closed revenue is additional,https://replylead.com/pricing.html,2026-09-09
Cleverly,LinkedIn-led prospecting,LinkedIn lead generation from $397/month; other channels quoted,397,month,,yes,Channel-specific starting price on the LinkedIn service page; cold email and calling quoted,https://www.cleverly.co/linkedin-lead-generation,2026-09-22
AiSDR,Platform or GTM system,"$250 / $900 / $2,500 monthly plan prices",250,month,,yes,Software plans; managed-service options cost extra,https://aisdr.com/pricing/,2026-09-09
OutreachBloom,Managed cold email,"Cold email from $2,400/month",2400,month,,yes,Starting rate; other channels priced separately,https://outreachbloom.com/pricing/,2026-09-09
CIENCE,Platform or GTM system,"$7,499 first-month core; $2,499/month recurring core",2499,month,7499,yes,"SDRs, onboarding and meeting-related charges are additional",https://www.cience.com/pricing,2026-09-09
Sopro,Managed multi-touch prospecting,Around $3.8K/month on reviewed page,3800,month,,yes,Approximate figure on the reviewed page; confirm billing currency,https://sopro.io/pricing/,2026-09-22
SalesRoads,Calling and multichannel appointment setting,"From $11,950 per four weeks (one dedicated SDR; $16,750 for two)",11950,4 weeks,,yes,"Billed per four weeks; was $9,950 per four weeks in July 2026 (US view re-checked 2026-09-22)",https://salesroads.com/pricing/,2026-09-22
Belkins,Calling and multichannel appointment setting,Quote only,,,,no,No price published on the official pages reviewed,https://belkins.io/pricing,2026-09-09
SalesHive,Calling and multichannel appointment setting,Quote only,,,,no,No price published on the official pages reviewed,https://saleshive.com/pricing/,2026-09-09
Martal Group,Sales development and outsourced sales teams,Quote only,,,,no,No price published on the official pages reviewed,https://martal.ca/pricing/,2026-09-09
SalesBread,LinkedIn-led prospecting,Quote only,,,,no,No price published on the official pages reviewed,https://salesbread.com/,2026-09-09
memoryBlue,Sales development and outsourced sales teams,Quote only,,,,no,No price published on the official pages reviewed,https://memoryblue.com/,2026-09-09
Callbox,Calling and multichannel appointment setting,Quote only,,,,no,No price published on the official pages reviewed,https://www.callboxinc.com/,2026-09-09
MarketStar,Sales development and outsourced sales teams,Quote only,,,,no,No price published on the official pages reviewed,https://www.marketstar.com/,2026-09-09
