provider,contract_terms,contract_source,guarantee_or_refund,guarantee_source,counted_or_delivered,counted_source,us_or_north_american_team,team_source,checked,checked_from
ReplyLead,We keep terms straightforward and performance-based rather than locking you into a long fixed commitment.,https://replylead.com/pricing.html,"In a period where nothing closes, no revenue share is owed and the infrastructure amount remains",https://replylead.com/pricing.html,books qualified meetings onto your calendar,https://replylead.com/how-it-works.html,,,2026-09-22,US connection
Belkins,Custom SLAs and contract terms tailored to enterprise procurement,https://belkins.io/pricing,100 guaranteed appts/year,https://belkins.io/appointment-setting,,,,,2026-09-22,US connection
CIENCE,"a one-time GTM setup sprint, followed by month-to-month strategic execution and graph8 infrastructure",https://www.cience.com/pricing,,,,,,,2026-09-22,US connection
SalesHive,Cancel anytime with written notice.,https://saleshive.com/pricing/,,,,,Our core team is 100% US-based.,https://saleshive.com/pricing/,2026-09-22,US connection
Martal Group,Monthly Subscription after the Pilot Campaign,https://martal.ca/pricing/,,,,,Appointment booking and discovery calls that are led by North American team,https://martal.ca/pricing/,2026-09-22,US connection
Sopro,there's no minimum contract,https://sopro.io/pricing/,,,,,,,2026-09-22,US connection
Cleverly,operating on a month-to-month basis,https://www.cleverly.co/faq,we can't guarantee a specific number,https://www.cleverly.co/faq,,,,,2026-09-22,US connection
SalesBread,It's a month-to-month service.,https://salesbread.com/,20+ sales qualified leads per month ... or your money back,https://salesbread.com/,"A lead works at the right company, with the right title and seniority AND replies with interest about your offer.",https://salesbread.com/,,,2026-09-22,US connection
OutreachBloom,,,"may, in its sole discretion, issue refunds",https://outreachbloom.com/terms-of-use/,,,,,2026-09-22,US connection
SalesRoads,"SalesRoads programs run without long-term commitments, and you can cancel at any time.",https://salesroads.com/pricing/,,,,,,,2026-09-22,US connection
AiSDR,Explore and Scale have quarterly contracts.,https://aisdr.com/pricing/,paid Subscription fees are non-refundable,https://aisdr.com/terms/,,,,,2026-09-22,US connection
memoryBlue,,,,,,,,,2026-09-22,US connection
Callbox,Contact our team for specific contract length options tailored to your situation.,https://www.callboxinc.com/lead-generation-pricing/,30-day campaign launch guarantee,https://www.callboxinc.com/industries-we-serve/saas-lead-generation/,,,,,2026-09-22,US connection
MarketStar,without the need for a fixed team size or contract length to get started,https://www.marketstar.com/faqs,,,,,,,2026-09-22,US connection
