provider,plan_or_unit,observed_date,published_price_usd,billing_period,source_type,evidence_url
ReplyLead,"Infrastructure, lowest tier (plus agreed revenue share)",2026-08-01,2023,month,ReplyLead published page,https://replylead.com/pricing.html
ReplyLead,"Infrastructure, lowest tier (plus agreed revenue share)",2026-09-22,2023,month,ReplyLead published page,https://replylead.com/pricing.html
OutreachBloom,"Managed cold email, entry plan",2024-06-13,1000,month,Internet Archive,https://web.archive.org/web/20240613084234/https://outreachbloom.com/pricing/
OutreachBloom,"Managed cold email, entry plan",2024-12-14,1500,month,Internet Archive,https://web.archive.org/web/20241214203857/https://outreachbloom.com/pricing/
OutreachBloom,"Managed cold email, entry plan",2025-12-16,1900,month,Internet Archive,https://web.archive.org/web/20251216034826/https://outreachbloom.com/pricing/
OutreachBloom,"Managed cold email, entry plan",2026-09-22,2400,month,"Live page, US connection",https://outreachbloom.com/pricing/
Cleverly,"LinkedIn outreach, lowest published plan",2024-06-22,297,month,Internet Archive,https://web.archive.org/web/20240622193501/https://www.cleverly.co/
Cleverly,"LinkedIn outreach, lowest published plan",2026-09-22,397,month,"Live page, US connection",https://www.cleverly.co/linkedin-lead-generation
CIENCE,"Recurring core after the $5,000 setup",2025-10-05,1999,month,Internet Archive,https://web.archive.org/web/20251005194301/https://www.cience.com/pricing
CIENCE,"Recurring core after the $5,000 setup",2026-01-25,2499,month,Internet Archive,https://web.archive.org/web/20260125131156/https://www.cience.com/pricing
CIENCE,"Recurring core after the $5,000 setup",2026-09-22,2499,month,"Live page, US connection",https://www.cience.com/pricing
SalesRoads,One dedicated SDR,2026-07-28,9950,4 weeks,Internet Archive,https://web.archive.org/web/20260728173057/https://salesroads.com/pricing/
SalesRoads,One dedicated SDR,2026-09-22,11950,4 weeks,"Live page, US connection",https://salesroads.com/pricing/
SalesHive,"Growth: one US-based SDR, phone and email, month to month",2024-06-17,8000,month,Internet Archive,https://web.archive.org/web/20240617155412/https://saleshive.com/pricing/
SalesHive,"Growth: one US-based SDR, phone and email, month to month",2025-12-14,8000,month,Internet Archive,https://web.archive.org/web/20251214130848/https://saleshive.com/pricing/
SalesHive,"Growth: one US-based SDR, phone and email, month to month",2026-09-22,,month,"Live page, US connection",https://saleshive.com/pricing/
Sopro,"Managed prospecting, starting figure",2025-06-24,3800,month,Internet Archive,https://web.archive.org/web/20250624032431/https://sopro.io/pricing/
Sopro,"Managed prospecting, starting figure",2026-09-22,3800,month,"Live page, US connection",https://sopro.io/pricing/
